national_rank,state_rank,yield,field_state,class,till_maturity_days,date_planted,date_harvested,planting_rate,row_spacing,nitrogen,phosphorus,potash,trace_element,manure,harvester_make,total_acres,acres_harvested,total_bushels_harvested,bushels_per_acres,acres_harvested_recheck,total_bushels_harvested_recheck,bushels_per_acres_recheck
146,2,194.3819,OK,"E:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Non-Irrigated Class",114,2019-04-02,2019-09-18,29000,30,175,80,120,NA,Poultry:2null,John Deere,82,1.2753,247.8952,194.3819,0,0,0
252*,15,193.6327,MI,C:No-Till Non-Irrigated Class,99,2019-05-17,2019-11-26,34000,30,254,48,5,NA,Swine:6000gal,John Deere,30,1.2824,248.3146,193.6327,0,0,0
168,18,260.2728,NE,I:Conventional Irrigated Class,120,2019-05-16,2019-11-04,36000,30,250,50,0,NA,NA,John Deere,39,1.6006,416.5926,260.2728,0,0,0
88,14,264.1997,NE,G:No-Till Irrigated Class,120,2019-05-04,2019-11-07,34235,30,280,75,0,NA,NA,John Deere,120,2.0055,529.8525,264.1997,0,0,0
66*,7*,265.5456,MI,A:Conventional Non-Irrigated Class,102,2019-06-10,2019-11-26,34000,30,213,48,5,NA,Swine:6000gal,John Deere,20,1.4229,377.8449,265.5456,0,0,0
112,6,263.713,NE,C:No-Till Non-Irrigated Class,114,2019-05-14,2019-11-10,33000,30,280,75,0,NA,NA,John Deere,75,1.8636,491.4556,263.713,0,0,0
48,20,277.3793,IA,"F:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Class Non-Irrigated Class",113,2019-05-15,2019-10-30,34000,30,230,104,180,NA,NA,John Deere,77,1.9277,534.7041,277.3793,0,0,0
119,23,239.9045,MI,A:Conventional Non-Irrigated Class,93,2019-05-04,2019-10-25,32500,30,160,60,120,"B:2lbs, Zn:6lbs, S:20lbs, Mn:5gal",NA,Case IH,25,2.3618,566.6065,239.9045,0,0,0
113,7,263.2521,NE,C:No-Till Non-Irrigated Class,110,2019-05-15,2019-11-01,32000,30,250,40,0,NA,NA,John Deere,78,1.2553,330.4603,263.2521,0,0,0
45,15,287.0608,PA,C:No-Till Non-Irrigated Class,111,2019-05-09,2019-10-14,34000,30,375,15,15,"S:25lbs, Zn:5lbs, Mg:5lbs, B:5lbs",NA,Case IH,25,1.3313,382.164,287.0608,0,0,0
22,5,291.2585,TN,A:Conventional Non-Irrigated Class,120,2019-04-27,2019-09-10,36000,30,285,50,120,NA,NA,Case IH,40,1.36,396.1116,291.2585,0,0,0
251,6,240.2325,MN,I:Conventional Irrigated Class,91,2019-05-07,2019-10-19,36000,30,262,0,0,S:35lbs,Cattle:26tons,Case IH,40,1.682,404.071,240.2325,0,0,0
167,63,263.5691,NE,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",120,2019-04-24,2019-10-23,33000,30,300,50,30,NA,NA,John Deere,155,3.1433,828.4768,263.5691,0,0,0
135,31,234.2225,MI,A:Conventional Non-Irrigated Class,99,2019-05-14,2019-11-19,31000,30,175,35,0,Zn:1qts,NA,Case IH,80,1.4807,346.8132,234.2225,0,0,0
11,3,292.5128,IA,"F:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Class Non-Irrigated Class",113,2019-04-24,2019-10-25,34500,30,220,80,100,NA,NA,John Deere,68,2.2305,652.4497,292.5128,0,0,0
168,33,244.1724,PA,C:No-Till Non-Irrigated Class,112,2019-05-11,2019-11-04,24000,30,200,10,4,Zn:1pt,NA,John Deere,11,1.5576,380.3229,244.1724,0,0,0
21,3,285.7171,OH,"F:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Class Non-Irrigated Class",111,2019-05-22,2019-10-08,35000,30,350,150,200,NA,NA,John Deere,230,1.2741,364.0321,285.7171,0,0,0
18,2,297.8497,WI,B:Conventional Non-Irrigated Class,113,2019-05-05,2019-11-06,38000,30,0,0,0,NA,NA,John Deere,30,1.2569,374.3673,297.8497,0,0,0
169*,65*,263.1831,NE,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",113,2019-04-26,2019-10-25,32640,30,237,0,0,NA,NA,John Deere,153,1.3533,356.1657,263.1831,0,0,0
51*,9*,284.2762,TN,C:No-Till Non-Irrigated Class,117,2019-05-01,2019-09-20,34000,30,180,80,80,NA,NA,Case IH,75,1.3748,390.8229,284.2762,0,0,0
497,90,158.8282,MN,B:Conventional Non-Irrigated Class,103,2019-05-15,2019-11-15,34000,30,160,120,90,NA,NA,John Deere,78,2.1194,336.6205,158.8282,0,0,0
134*,15*,268.7449,NE,I:Conventional Irrigated Class,110,2019-04-29,2019-10-24,34500,30,250,64,54,S:42lbs,NA,John Deere,60,3.0702,825.1006,268.7449,0,0,0
67*,12,279.3228,TN,C:No-Till Non-Irrigated Class,115,2019-05-21,2019-09-11,34000,30,180,80,80,NA,Poultry:02tons,Case IH,300,1.4348,400.7724,279.3228,0,0,0
249,2,246.2104,ND,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",103,2019-05-07,2019-11-05,36000,30,300,50,15,"Zn:1lbs, S:30lbs",NA,Case IH,95,1.2693,312.5148,246.2104,0,0,0
109*,23,264.8692,TN,C:No-Till Non-Irrigated Class,105,2019-04-29,2019-09-06,48000,30,380,200,250,B:3.5lbs,NA,John Deere,78,1.2893,341.4958,264.8692,0,0,0
209*,22,252.6043,NE,I:Conventional Irrigated Class,108,2019-04-29,2019-10-25,34500,30,250,64,54,S:42lbs,NA,John Deere,60,3.0702,775.5456,252.6043,0,0,0
133,3,240.7578,ND,G:No-Till Irrigated Class,92,2019-05-07,2019-11-05,36000,30,300,50,15,Zn:1lbs,NA,Case IH,105,1.3574,326.8047,240.7578,0,0,0
13,1,295.1404,TN,"E:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Non-Irrigated Class",118,2019-04-26,2019-09-24,36000,30,285,45,250,B:1qts,Poultry:1.5tons,Case IH,60,1.3388,395.134,295.1404,0,0,0
178*,36,237.8553,PA,C:No-Till Non-Irrigated Class,111,2019-04-29,2019-09-17,37000,30,250,4,60,B:2lbs,Poultry:3tons,Case IH,145,1.7649,419.7908,237.8553,0,0,0
115*,25,262.3404,TN,C:No-Till Non-Irrigated Class,114,2019-05-01,2019-09-18,36000,30,240,200,250,NA,NA,John Deere,53,1.8556,486.79880000000003,262.3404,0,0,0
127*,29*,258.5293,PA,C:No-Till Non-Irrigated Class,110,2019-05-01,2019-09-20,40000,30,200,0,130,"B:1lbs, Cu:2lbs, Mg:60lbs, S:60lbs",Poultry:2tons,Case IH,77,1.5055,389.2159,258.5293,0,0,0
49,22,273.8524,IA,D:No-Till Non-Irrigated Class,115,2019-05-02,2019-10-28,33000,30,220,85,85,NA,NA,John Deere,80,1.658,454.0473,273.8524,0,0,0
122*,27,260.1419,TN,C:No-Till Non-Irrigated Class,118,2019-05-08,2019-09-19,36000,30,280,180,220,NA,NA,John Deere,67,1.4526,377.8821,260.1419,0,0,0
98*,42,255.7452,IA,D:No-Till Non-Irrigated Class,113,2019-05-06,2019-11-09,32500,30,200,80,80,NA,NA,John Deere,55,1.3968,357.2249,255.7452,0,0,0
183,20,235.5995,KY,C:No-Till Non-Irrigated Class,114,2019-04-30,2019-09-12,34000,20,0,0,0,NA,NA,John Deere,50,1.2634,297.6564,235.5995,0,0,0
66*,32*,268.7775,IA,D:No-Till Non-Irrigated Class,113,2019-05-08,2019-11-07,32500,30,200,80,80,NA,NA,John Deere,145,1.273,342.1538,268.7775,0,0,0
76*,14,275.4152,TN,C:No-Till Non-Irrigated Class,105,2019-04-29,2019-09-06,46000,30,380,200,250,B:2.5lbs,NA,John Deere,78,1.3129,361.5926,275.4152,0,0,0
29*,*,295.6813,IN,G:No-Till Irrigated Class,120,2019-05-06,2019-09-13,36000,30,325,115,170,"B:1.5lbs, Zn:1lbs",NA,John Deere,56,1.3226,391.0681,295.6813,0,0,0
26*,2,297.2656,TN,C:No-Till Non-Irrigated Class,111,2019-05-01,2019-09-05,38000,30,310,200,250,"B:3lbs, Mn:.5lbs, Zn:1lbs",NA,John Deere,27,1.2689,377.2003,297.2656,0,0,0
79*,15,275.0816,TN,C:No-Till Non-Irrigated Class,114,2019-05-02,2019-09-18,36000,30,260,200,250,NA,NA,John Deere,53,1.7884,491.956,275.0816,0,0,0
85*,18,273.1323,TN,C:No-Till Non-Irrigated Class,118,2019-05-08,2019-09-19,36000,30,280,180,220,NA,NA,John Deere,67,1.4245,389.0769,273.1323,0,0,0
27*,1,297.357,IN,G:No-Till Irrigated Class,118,2019-05-06,2019-09-13,36000,30,325,115,170,"B:1.5lbs, Zn:1lbs",NA,John Deere,56,1.3195,392.3625,297.357,0,0,0
216,82,257.4282,IA,B:Conventional Non-Irrigated Class,113,2019-04-29,2019-11-14,32000,30,0,0,0,NA,NA,John Deere,55,2.011,517.6881,257.4282,0,0,0
30,5,282.0957,OH,"F:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Class Non-Irrigated Class",113,2019-05-24,2019-10-17,36000,30,300,150,150,NA,NA,John Deere,103,1.2789,360.7722,282.0957,0,0,0
73,1,280.0984,IL,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",117,2019-05-15,2019-10-16,34500,30,261,103,75,"Zn:1.5lbs, S:30lbs",NA,John Deere,170,1.7893,501.1801,280.0984,0,0,0
155*,9,265.6759,SC,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",115,2019-03-25,2019-08-26,36000,30,270,40,100,S:35lbs,Broiler:2.5tons,Case IH,80,1.3531,359.4861,265.6759,0,0,0
82,16,274.3062,TN,C:No-Till Non-Irrigated Class,116,2019-04-11,2019-09-09,35000,30,300,100,120,NA,NA,Case IH,33,1.3827,379.2832,274.3062,0,0,0
10,3,289.1602,IA,D:No-Till Non-Irrigated Class,113,2019-05-16,2019-11-13,36000,30,160,100,100,NA,NA,John Deere,37,1.5478,447.5621,289.1602,0,0,0
53,25,272.9206,IA,D:No-Till Non-Irrigated Class,110,2019-05-16,2019-11-08,36000,30,160,100,100,NA,NA,John Deere,78,1.546,421.9353,272.9206,0,0,0
27,2,299.0746,IN,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",112,2019-06-03,2019-10-05,32000,30,300,200,300,B:2gal,NA,New Holland,85,1.5032,449.5689,299.0746,0,0,0
298,28,223.9473,NE,I:Conventional Irrigated Class,99,2019-05-06,2019-11-20,40000,30,200,20,10,NA,NA,John Deere,14,1.7713,396.6779,223.9473,0,0,0
231*,90,255.0447,IA,B:Conventional Non-Irrigated Class,111,2019-05-15,2019-11-01,34500,30,100,0,0,NA,Swine:4500gal,John Deere,76,1.3604,346.9628,255.0447,0,0,0
55,6,276.1548,IN,"F:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Class Non-Irrigated Class",114,2019-05-16,2019-11-18,40000,30,225,150,120,"B:1qts, Zn:1pt",NA,Challenger,80,1.5758,435.1648,276.1548,0,0,0
80*,11,275.0479,KY,C:No-Till Non-Irrigated Class,114,2019-04-27,2019-09-11,37000,30,320,150,125,NA,NA,John Deere,18,1.2981,357.0397,275.0479,0,0,0
75*,10*,275.6735,KY,C:No-Till Non-Irrigated Class,113,2019-04-29,2019-09-11,37000,30,320,150,150,NA,NA,John Deere,42,1.4388,396.6391,275.6735,0,0,0
252,110,190.9041,MI,A:Conventional Non-Irrigated Class,97,2019-05-24,2019-11-11,29500,30,180,6,100,"Zn:.2lbs, S:3.7lbs",Cattle:1000,John Deere,14,2.1832,416.7819,190.9041,0,0,0
212,6,252.0844,WI,I:Conventional Irrigated Class,102,2019-05-17,2019-11-12,34500,30,325,50,400,B:2lbs,NA,John Deere,37,1.7101,431.0896,252.0844,0,0,0
280,132,175.3972,MI,A:Conventional Non-Irrigated Class,95,2019-05-24,2019-11-11,29500,30,180,6,100,"Zn:.2lbs, S:3.7lbs",Cattle:1000gal,John Deere,12,2.2039,386.5579,175.3972,0,0,0
137,2,268.9666,WI,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",102,2019-04-28,2019-11-20,35000,30,274,48,120,"S:59lbs, Zn:.5lbs",NA,John Deere,65,1.6264,437.4472,268.9666,0,0,0
26,2,281.5971,KS,"E:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Non-Irrigated Class",116,2019-04-22,2019-09-24,40000,30,0,0,0,NA,NA,Case IH,11,1.5987,450.1893,281.5971,0,0,0
17*,*,298.54880000000003,OH,B:Conventional Non-Irrigated Class,120,2019-05-16,2019-10-14,35730,20,330,75,70,"S:60lbs, Zn:1.5qts",NA,Fendt,60,1.269,378.8584,298.54880000000003,0,0,0
15*,*,299.3221,OH,B:Conventional Non-Irrigated Class,117,2019-05-16,2019-10-14,39510,20,330,75,70,"S:60lbs, Zn:1.5qts",NA,Fendt,44,1.427,427.1327,299.3221,0,0,0
30*,*,291.6746,OH,B:Conventional Non-Irrigated Class,112,2019-05-21,2019-10-28,38860,20,330,75,70,"S:60lbs, Zn:1.5qts",NA,Fendt,137,1.2821,373.956,291.6746,0,0,0
20*,*,296.6344,OH,B:Conventional Non-Irrigated Class,108,2019-05-16,2019-09-23,35730,20,330,75,70,"S:60lbs, Zn:1.5qts",NA,Fendt,205,1.2738,377.8529,296.6344,0,0,0
209,82,205.6636,MI,A:Conventional Non-Irrigated Class,98,2019-05-16,2019-11-18,34000,30,160,0,0,NA,NA,John Deere,57,1.5231,313.2462,205.6636,0,0,0
225,93,201.2605,MI,A:Conventional Non-Irrigated Class,98,2019-05-15,2019-11-14,34000,30,150,0,0,NA,NA,John Deere,35,1.4816,298.1876,201.2605,0,0,0
50*,*,282.3121,OH,B:Conventional Non-Irrigated Class,110,2019-05-22,2019-11-04,39640,20,330,75,70,"S:60lbs, Zn:1.5qts",NA,Fendt,61,1.3846,390.8893,282.3121,0,0,0
276,129,177.1107,MI,A:Conventional Non-Irrigated Class,102,2019-05-15,2019-11-25,31500,30,125,0,0,NA,NA,John Deere,53,1.2741,225.6568,177.1107,0,0,0
242,98,246.9341,NE,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",115,2019-04-26,2019-10-23,34000,30,185,0,0,NA,NA,Gleaner,158,2.2792,562.8123,246.9341,0,0,0
113,34,272.868,NE,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",113,2019-04-29,2019-11-13,32000,30,0,0,0,NA,NA,John Deere,76,1.3005,354.8648,272.868,0,0,0
119,39,271.6968,NE,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",111,2019-04-25,2019-10-18,34000,30,235,0,0,NA,NA,John Deere,156,3.3444,908.6627,271.6968,0,0,0
224,90,252.5015,NE,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",115,2019-04-24,2019-10-24,34000,30,225,0,0,NA,NA,John Deere,145,3.1377,792.2739,252.5015,0,0,0
63,1,266.8823,PA,A:Conventional Non-Irrigated Class,105,2019-05-09,2019-10-30,40000,30,312,80,175,NA,Poultry:.05tons,John Deere,173,1.3843,369.4451,266.8823,0,0,0
124,1,259.5811,DE,C:No-Till Non-Irrigated Class,115,2019-04-28,2019-09-20,28000,30,150,0,15,Zn:qts,Poultry:2.6tons,Gleaner,97,1.563,405.7253,259.5811,0,0,0
49,2,295.7438,NJ,I:Conventional Irrigated Class,116,2019-05-02,2019-10-24,32000,30,260,40,120,"S:40lbs, B:1.5lbs",NA,John Deere,36,1.91,564.8707,295.7438,0,0,0
142,51,268.0268,NE,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",115,2019-04-23,2019-10-14,34000,30,0,0,0,NA,NA,Case IH,130,2.1212,568.5385,268.0268,0,0,0
148,13,248.8371,IN,"F:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Class Non-Irrigated Class",113,2019-06-05,2019-10-17,34500,30,220,150,350,Zn:3lbs,NA,John Deere,135,1.3017,323.9112,248.8371,0,0,0
275,128,177.2663,MI,A:Conventional Non-Irrigated Class,107,2019-06-04,2019-10-29,33000,30,225,50,200,NA,Cattle:2tons,John Deere,45,1.2961,229.7549,177.2663,0,0,0
65*,6*,266.1572,MI,A:Conventional Non-Irrigated Class,118,2019-05-14,2019-10-24,35000,30,280,0,200,NA,Cattle:10000gal,John Deere,17,1.2534,333.6014,266.1572,0,0,0
126*,27,237.6049,MI,A:Conventional Non-Irrigated Class,109,2019-05-13,2019-11-25,35000,30,280,0,100,NA,Cattle:10000gal,John Deere,29,1.2626,300,237.6049,0,0,0
277,130,176.5983,MI,A:Conventional Non-Irrigated Class,107,2019-05-13,2019-11-18,33500,30,225,75,120,NA,NA,John Deere,40,1.2562,221.8428,176.5983,0,0,0
296,144,148.7424,MI,A:Conventional Non-Irrigated Class,95,2019-06-06,2019-11-22,30000,30,240,122,200,NA,NA,John Deere,31,2.5826,384.142,148.7424,0,0,0
129,15,256.8216,OH,"F:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Class Non-Irrigated Class",115,2019-05-07,2019-10-02,35000,30,230,0,0,NA,Poultry:2tons,Case IH,75,1.3058,335.3576,256.8216,0,0,0
191,23,260.7082,MN,B:Conventional Non-Irrigated Class,105,2019-05-07,2019-11-05,35000,30,160,120,150,S:null,NA,John Deere,169,1.7122,446.3845,260.7082,0,0,0
282*,5*,232.5397,MN,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",104,2019-05-14,2019-11-01,34000,30,240,89,296,S:16.7lbs,Other:11000gal,Gleaner,115,1.2655,294.279,232.5397,0,0,0
221*,10*,252.8418,MI,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",104,2019-05-07,2019-11-04,38000,30,310,0,0,"Zn:1qts, B:1qts",NA,John Deere,76,1.4017,354.4083,252.8418,0,0,0
483,21,192.2073,WI,B:Conventional Non-Irrigated Class,94,2019-05-26,2019-11-21,32500,30,0,0,0,NA,NA,John Deere,35,2.0193,388.1243,192.2073,0,0,0
153*,25*,265.5181,OH,B:Conventional Non-Irrigated Class,113,2019-06-01,2019-11-06,36000,30,270,300,150,NA,NA,John Deere,18,1.3082,347.3508,265.5181,0,0,0
26*,4,281.2169,IN,D:No-Till Non-Irrigated Class,113,2019-05-08,2019-09-18,34000,30,240,100,120,"S:60lbs, Zn:1gal",NA,John Deere,28,1.25,351.5211,281.2169,0,0,0
7,1,298.3466,IN,D:No-Till Non-Irrigated Class,111,2019-05-08,2019-09-20,34000,30,240,100,150,"B:2qts, S:60lbs, Zn:1gal",NA,John Deere,34,1.25,372.9332,298.3466,0,0,0
52,5,276.4835,IN,"F:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Class Non-Irrigated Class",112,2019-05-09,2019-10-10,34000,30,240,100,140,"B:1gal, Zn:2qts, S:40lbs",NA,John Deere,38,1.25,345.6044,276.4835,0,0,0
249,108,191.6247,MI,A:Conventional Non-Irrigated Class,92,2019-05-17,2019-11-16,32500,30,165,80,160,S:15lbs,NA,John Deere,36,2.3244,445.4125,191.6247,0,0,0
90,7,236.251,NY,"E:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Non-Irrigated Class",111,2019-05-09,2019-11-26,36000,30,220,25,200,Zn:2pt,NA,Case IH,80,1.5424,364.3935,236.251,0,0,0
170*,16*,262.7696,IN,B:Conventional Non-Irrigated Class,114,2019-05-25,2019-10-18,34000,30,0,0,0,NA,NA,Case IH,100,1.6825,442.1099,262.7696,0,0,0
95,3,280.4583,WI,I:Conventional Irrigated Class,107,2019-04-24,2019-11-22,38000,30,300,0,0,S:30lbs,NA,Claas,125,1.2507,350.7692,280.4583,0,0,0
52,1,284.0653,KS,C:No-Till Non-Irrigated Class,114,2019-04-23,2019-10-14,34000,30,215,70,60,Zn:2lbs,NA,Case IH,120,1.2833,364.541,284.0653,0,0,0
135*,*,269.0086,NM,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",103,2019-04-13,2019-10-23,36000,30,300,80,60,NA,NA,John Deere,130,1.2991,349.4691,269.0086,0,0,0
265,27,177.5148,NE,C:No-Till Non-Irrigated Class,118,2019-05-16,2019-11-09,27000,30,150,20,6,NA,NA,New Holland,12,1.2645,224.4675,177.5148,0,0,0
464,72,206.9437,OH,B:Conventional Non-Irrigated Class,108,2019-05-21,2019-10-18,36000,30,0,0,0,NA,NA,John Deere,46,1.4091,291.6044,206.9437,0,0,0
430,66,220.75,OH,B:Conventional Non-Irrigated Class,114,2019-06-01,2019-10-05,34000,30,0,0,0,NA,NA,New Holland,60,1.4931,329.6018,220.75,0,0,0
205,35,202.094,OH,D:No-Till Non-Irrigated Class,108,2019-06-01,2019-11-06,32000,30,0,0,0,NA,NA,John Deere,47,1.8871,381.3715,202.094,0,0,0
216,40,188.0489,OH,D:No-Till Non-Irrigated Class,108,2019-06-01,2019-10-22,32000,30,0,0,0,NA,NA,John Deere,75,1.832,344.5055,188.0489,0,0,0
125,3,271.8208,CO,I:Conventional Irrigated Class,118,2019-05-04,2019-10-26,32700,30,240,0,0,NA,NA,Case IH,22,4.2149,1145.6974,271.8208,0,0,0
115,13,224.0283,VA,"E:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Non-Irrigated Class",117,2019-04-08,2019-08-23,30000,36,230,60,100,"B:1lbs, S:35lbs, Zn:5lbs",NA,Case IH,24,1.4898,333.7574,224.0283,0,0,0
198,26,219.9204,OH,"F:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Class Non-Irrigated Class",115,2019-05-08,2019-09-23,32500,30,180,51,0,NA,NA,John Deere,26,1.4115,310.4176,219.9204,0,0,0
66,8,248.989,VA,"E:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Non-Irrigated Class",115,2019-04-04,2019-08-16,30000,15,230,60,100,"B:1lbs, S:35lbs, Zn:.5lbs",NA,Case IH,15,1.3788,343.306,248.989,0,0,0
80*,12,271.4196,WI,"F:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Class Non-Irrigated Class",103,2019-04-23,2019-10-25,36000,30,210,46,180,S:25lbs,NA,Case IH,70,1.3554,367.8821,271.4196,0,0,0
33*,4*,289.1268,WI,B:Conventional Non-Irrigated Class,103,2019-05-06,2019-11-13,36000,30,210,75,210,S:25lbs,Cattle:15000gal,Case IH,154,1.4394,416.1691,289.1268,0,0,0
134*,32,206.5175,MI,"E:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Non-Irrigated Class",103,2019-05-22,2019-11-19,32000,30,180,125,250,"Zn:1qts, S:4gal, B:1qts",NA,John Deere,42,1.6322,337.0778,206.5175,0,0,0
229,93,250.7653,NE,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",113,2019-05-08,2019-10-18,33500,30,250,50,0,NA,NA,John Deere,48,3.3994,852.4514,250.7653,0,0,0
79*,4*,241.3935,MI,"E:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Non-Irrigated Class",92,2019-05-31,2019-11-20,32000,30,160,100,200,"B:1qts, Zn:1qts, S:2gal",NA,John Deere,38,1.3588,328.0055,241.3935,0,0,0
178*,15,235.3553,MN,"F:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Class Non-Irrigated Class",104,2019-05-06,2019-10-29,35400,30,149,120,140,"B:, Mo:",NA,John Deere,45,1.4987,352.727,235.3553,0,0,0
112,5,251.2047,KS,G:No-Till Irrigated Class,113,2019-04-25,2019-09-13,34000,30,270,75,60,NA,NA,John Deere,135,1.25,314.0059,251.2047,0,0,0
195,22,222.4614,MN,"F:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Class Non-Irrigated Class",103,2019-05-14,2019-11-01,34000,30,128,57,50,"S:21lbs, Zn:1qts",NA,Gleaner,19,1.2789,284.5059,222.4614,0,0,0
32*,*,293.4736,KY,G:No-Till Irrigated Class,116,2019-05-03,2019-09-07,35000,30,260,100,100,NA,Poultry:1tons,Case IH,80,1.2539,367.9865,293.4736,0,0,0
285,5,134.5513,CO,C:No-Till Non-Irrigated Class,106,2019-05-20,2019-10-23,15000,30,80,30,0,Zn:1lbs,NA,John Deere,80,2.0634,277.6331,134.5513,0,0,0
291,7,228.5748,MN,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",108,2019-05-14,2019-11-01,34000,30,204,113,232,S:18.3lbs,Other:11000gal,Gleaner,153,1.3912,317.9932,228.5748,0,0,0
178*,1,258.5413,NY,I:Conventional Irrigated Class,102,2019-05-22,2019-11-15,39000,30,80,40,60,"S:26lbs, Zn:2lbs",Cattle:20tons,John Deere,32,1.7423,450.4565,258.5413,0,0,0
285,6,231.0888,MN,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",108,2019-05-14,2019-11-01,33000,30,204,113,232,S:18.3lbs,Other:11000gal,Gleaner,153,1.6684,385.5486,231.0888,0,0,0
277,3,154.6144,CO,C:No-Till Non-Irrigated Class,106,2019-05-20,2019-11-10,15000,30,60,20,0,Zn:1.5null,NA,New Holland,150,5.2149,806.2988,154.6144,0,0,0
93*,17,260.2949,NE,G:No-Till Irrigated Class,115,2019-05-05,2019-10-28,33000,30,210,40,30,NA,NA,Case IH,65,2.7961,727.8107,260.2949,0,0,0
245*,5,192.5225,TX,A:Conventional Non-Irrigated Class,120,2019-03-18,2019-08-01,25000,40,170,60,30,S:14lbs,NA,Case IH,81,8.3906,1615.3795,192.5225,0,0,0
198*,*,254.6238,NY,I:Conventional Irrigated Class,102,2019-05-22,2019-11-15,40300,30,173,40,60,"S:46lbs, Zn:2lbs",Cattle:20tons,John Deere,22,1.8443,469.6027,254.6238,0,0,0
223*,3,201.4865,TX,A:Conventional Non-Irrigated Class,118,2019-03-24,2019-08-05,25000,40,170,60,30,S:14lbs,NA,Case IH,36,6.9337,1397.0469,201.4865,0,0,0
75,7,261.6201,NC,A:Conventional Non-Irrigated Class,115,2019-04-04,2019-08-13,37000,22,191,77,163,"B:0.3lbs, Fe:0.03lbs, Zn:0.17lbs",NA,John Deere,20,1.3057,341.5973,261.6201,0,0,0
135*,21,257.3813,MD,C:No-Till Non-Irrigated Class,115,2019-05-01,2019-09-27,34000,30,260,200,200,NA,NA,John Deere,22,1.489,383.2407,257.3813,0,0,0
54,5,271.4657,NC,A:Conventional Non-Irrigated Class,113,2019-04-04,2019-08-13,37000,22,191,77,163,"B:0.30lbs, Fe:0.03lbs, Zn:0.17lbs",NA,John Deere,20,1.292,350.7337,271.4657,0,0,0
89*,16*,271.573,MD,C:No-Till Non-Irrigated Class,112,2019-05-16,2019-10-08,34000,30,260,200,200,NA,NA,John Deere,36,1.2603,342.2635,271.573,0,0,0
115,13,251.3572,IN,D:No-Till Non-Irrigated Class,114,2019-05-11,2019-10-23,34000,30,210,115,150,NA,NA,Case IH,81,1.281,321.9886,251.3572,0,0,0
34,2,279.1093,NC,A:Conventional Non-Irrigated Class,117,2019-04-06,2019-08-23,37000,22,189,73,167,"S:0.33lbs, Zn:0.025lbs, Mn:0.036lbs, Fe:0.05lbs",NA,John Deere,20,1.2992,362.6188,279.1093,0,0,0
178,68,261.6452,NE,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",115,2019-04-24,2019-10-31,33000,30,1902,0,0,NA,NA,New Holland,80,3.1983,836.8199,261.6452,0,0,0
237,4,196.3059,TX,A:Conventional Non-Irrigated Class,114,2019-03-20,2019-08-12,24500,30,0,0,0,NA,NA,John Deere,150,1.3202,259.1631,196.3059,0,0,0
